,Potential_Customer,Cust_Last_Purchase,Pur_3_years,Pur_5_years,Pur_3_years_Indirect,Pur_5_years_Indirect,Pur_latest,Pur_3_years_Avg,Pur_5_years_Avg,Pur_3_years_Avg_Indirect,InAct_Last,InAct_First,Ad_Res_1_year,Ad_Res_Ind_1_Year,Status_Cust,Status_Latest_Ad,Age,Gender,Cust_Prop,Cust_Ann_Income,Total_5_yrs_purchase
2133,1,15,1,1,1,1,15,15,15,15,21,21,4,1,E,0,60,F,U,44284.5,2
2134,0,0,2,14,1,9,15,15,8.43,15,22,122,11,5,S,1,65,M,U,45083,23
2135,1,15,3,9,3,6,15,15,11.33,15,20,103,12,6,A,0,80,F,U,44284.5,15
2136,0,0,2,8,1,5,15,12.5,10,10,25,92,11,5,A,0,39,M,H,54170,13
2137,0,0,1,1,1,1,15,15,15,15,16,16,11,4,F,0,47,F,H,53050,2
2138,0,0,1,1,1,1,15,15,15,15,23,23,9,3,N,0,71,M,H,42935,2
2139,0,0,3,3,2,2,15,12.67,12.67,14,20,29,13,6,A,1,60,F,U,44284.5,5
2140,0,0,2,8,2,7,15,18,11.13,18,4,57,7,1,E,1,60,F,U,44284.5,15
2141,1,10,3,10,3,8,15,10,7.3,10,24,88,10,4,A,1,53,F,H,54871,18
2142,1,10,3,14,2,9,15,15,9.64,15,18,111,7,4,S,1,64,M,H,60140,23
2143,0,0,1,3,1,2,15,15,12.33,15,21,41,10,4,A,0,63,M,H,60140,5
2144,0,0,1,1,0,0,15,15,15,0,16,16,11,4,F,0,51,M,H,50278,1
2145,1,20,3,4,2,3,15,20,16.25,17.5,21,42,13,6,A,0,82,M,H,47981,7
2146,1,15,3,7,1,3,15,12.67,9.71,12,18,53,13,6,A,0,60,M,U,46319,10
2147,1,10,5,5,2,2,15,11.6,11.6,9,18,32,13,6,S,1,74,F,H,30885,7
2148,0,0,1,1,1,1,15,15,15,15,24,24,7,3,N,0,34,M,H,45561,2
2149,1,15,2,3,0,1,15,13.5,12.33,0,19,53,12,6,A,0,61,F,H,45709,4
2150,1,10,2,9,2,9,15,15,9.11,15,17,86,13,6,A,1,36,F,U,59063,18
2151,1,25,1,1,1,1,15,15,15,15,24,24,7,3,N,0,32,F,H,67330,2
2152,1,15,2,2,1,1,15,10,10,5,19,29,10,4,A,0,47,M,H,87850,3
2153,0,0,1,1,1,1,15,15,15,15,21,21,8,3,F,0,27,F,H,51901,2
2154,0,0,3,14,1,9,15,13.33,11.29,15,17,92,13,6,S,1,47,F,U,70372,23
2155,1,20,2,3,1,2,15,17.5,15,15,16,41,13,6,A,0,39,M,H,67825,5
2156,0,0,2,8,2,7,15,15,13.25,15,23,106,10,4,A,0,60,M,H,59034,15
2157,0,0,0,1,0,0,15,0,15,0,18,18,10,4,F,0,60,M,U,44284.5,1
2158,0,0,3,7,2,4,15,13,10.57,13.5,19,81,12,6,A,0,73,M,U,44284.5,11
2159,1,15,2,4,0,1,15,15,12.5,0,26,41,9,4,A,0,36,F,H,62804,5
2160,1,10,1,6,0,4,15,15,7.5,0,18,92,10,4,A,0,69,M,H,50457,10
2161,1,15,1,7,0,6,15,15,8.57,0,18,76,12,5,A,1,74,M,H,53672,13
2162,0,0,4,5,3,4,15,13,14.4,13.33,16,42,15,6,A,0,60,F,U,44284.5,9
2163,1,25,1,1,1,1,15,15,15,15,17,17,10,4,F,0,53,F,H,66509,2
2164,1,15,2,10,2,10,15,15,9.7,15,21,105,12,5,A,1,51,M,H,70000,20
2165,0,0,0,3,0,1,15,0,12.33,0,26,41,9,4,A,0,59,M,H,54270,4
2166,1,15,2,2,2,2,15,10,10,10,15,29,8,2,E,0,63,M,H,21867,4
2167,1,21,4,6,2,3,15,15.75,13.17,17.5,18,53,13,6,A,1,70,M,U,44284.5,9
2168,0,0,4,22,3,12,15,14,10.36,14.33,17,88,13,6,A,1,62,F,H,48725,34
2169,0,0,1,5,0,1,15,15,10.8,0,18,88,10,4,A,0,34,F,H,51045,6
2170,1,15,1,1,1,1,15,15,15,15,17,17,10,4,F,0,84,F,U,52615,2
2171,0,0,2,2,2,2,15,15,15,15,22,31,10,4,A,0,51,M,H,59766,4
2172,0,0,4,6,2,2,15,11.25,10.67,15,25,32,11,6,A,0,57,F,H,36313,8
2173,0,0,1,2,1,1,15,10,12.5,10,18,20,13,6,N,0,52,F,H,52690,3
2174,1,10,1,7,0,4,15,15,6.29,0,24,77,10,4,A,0,60,M,U,44284.5,11
2175,1,15,6,9,2,2,15,10.67,11.44,10.5,6,29,32,9,A,1,47,M,H,62681,11
2176,1,50,1,1,0,0,15,15,15,0,18,18,10,4,F,0,60,F,H,62681,1
2177,0,0,2,2,2,2,15,15,15,15,20,28,10,4,A,0,64,F,H,53851,4
2178,1,21,0,1,0,0,15,0,15,0,23,23,8,3,N,0,77,F,H,70239,1
2179,1,15,3,26,2,15,15,13,10.58,12.5,24,129,13,6,S,1,86,M,U,70239,41
2180,1,12,3,16,1,9,15,10,9.94,10,18,128,13,6,S,1,74,F,U,44284.5,25
2181,1,15,2,3,1,2,15,13,10.33,15,16,44,12,5,A,0,60,F,U,44284.5,5
2182,1,15,2,4,0,1,15,15,12.5,0,19,55,11,5,A,0,40,M,U,66746,5
2183,1,15,2,2,1,1,15,15,15,15,19,24,12,6,N,0,83,M,H,36667,3
2184,1,15,2,10,0,6,15,12.5,9.5,0,15,123,11,4,A,1,74,M,U,47857,16
2185,0,0,2,9,1,6,15,15,15,15,18,95,13,6,A,1,57,M,H,57536,15
2186,1,14,9,10,7,8,15,12.11,11.4,11.71,11,38,21,8,S,1,24,M,H,55168,18
2187,1,5,1,1,1,1,15,15,15,15,24,24,7,3,N,0,74,M,H,46530,2
2188,0,0,1,4,1,2,15,15,12,15,24,45,10,5,A,0,79,M,U,42207,6
2189,0,0,4,14,4,11,15,16.5,9.86,16.5,15,106,7,2,E,1,60,F,U,44284.5,25
2190,0,0,3,7,0,2,15,15,10.14,0,18,80,13,6,A,0,53,M,H,49923,9
2191,1,20,1,2,0,0,15,13,14,0,19,20,13,6,N,1,53,M,H,49923,2
2192,0,0,1,1,0,0,15,15,15,0,26,26,7,3,N,0,60,M,U,44284.5,1
2193,1,20,3,9,2,6,15,15,12.11,15,24,123,9,4,A,0,61,F,H,62442,15
2194,0,0,1,7,1,4,15,15,9,15,20,111,6,2,A,0,60,M,U,44284.5,11
2195,1,15,2,10,1,5,15,14,7.5,13,18,130,11,4,A,1,66,F,H,48418,15
2196,1,15,1,1,1,1,15,15,15,15,17,17,10,4,F,0,33,F,H,41324,2
2197,0,0,2,10,2,6,15,15,11.7,15,22,91,12,6,A,1,52,F,H,50558,16
2198,1,25,1,9,1,5,15,15,8.33,15,21,65,12,6,A,1,82,M,H,53117,14
2199,0,0,4,9,2,6,15,12,10.11,13,23,124,13,6,A,0,60,M,U,44284.5,15
2200,0,0,7,22,2,8,15,15.14,12.18,15,17,126,14,6,S,1,60,M,U,44284.5,30
2201,0,0,2,2,1,1,15,10,10,15,16,20,14,6,N,0,31,F,H,46250,3
2202,1,15,1,1,1,1,15,15,15,15,17,17,10,4,F,0,60,F,U,49690,2
2203,1,20,2,8,2,3,15,15,10.38,15,4,45,12,4,A,0,60,F,U,44284.5,11
2204,1,10,5,29,5,18,15,11.2,9.69,11.2,16,129,15,6,S,1,50,F,H,48311,47
2205,0,0,2,2,1,1,15,10,10,5,16,22,12,5,N,0,54,M,H,51031,3
2206,1,15,4,6,3,5,15,11.75,9.83,12.33,16,44,14,6,S,1,60,F,U,44032,11
2207,1,15,2,18,2,15,15,15,10.06,15,21,131,12,6,S,1,60,M,U,44032,33
2208,0,0,3,14,1,7,15,14.33,8.57,15,16,128,12,5,A,1,75,F,U,50366,21
2209,1,10,3,15,1,9,15,11.67,8.73,15,16,119,11,6,A,1,80,F,U,41500,24
2210,0,0,2,7,2,5,15,14,12.43,14,21,65,13,6,A,1,55,F,H,44125,12
2211,1,15,1,1,1,1,15,15,15,15,22,22,10,3,N,0,60,F,U,44284.5,2
2212,1,20,2,3,1,1,15,15,15,25,18,28,13,6,A,0,33,M,H,58169,4
2213,0,0,2,10,0,5,15,12.5,9,0,18,126,12,5,A,0,76,M,H,51625,15
2214,1,12,2,5,0,2,15,12.5,8.6,0,18,69,11,5,A,0,75,F,H,49016,7
2215,0,0,2,2,2,2,15,14,14,14,24,33,9,4,A,0,28,F,U,44284.5,4
2216,1,15,3,11,2,7,15,13.67,9.73,14,20,119,13,6,A,1,70,F,U,44284.5,18
2217,0,0,3,12,0,4,15,11,6,0,19,90,13,6,S,1,72,F,U,50165,16
2218,0,0,4,15,4,12,15,12.75,7.07,12.75,17,104,13,6,S,1,60,F,H,50165,27
2219,0,0,1,1,1,1,15,15,15,15,15,15,7,2,E,0,30,F,U,59113,2
2220,0,0,1,1,0,0,15,15,15,0,19,19,10,4,F,0,60,F,U,44284.5,1
2221,0,0,2,3,1,2,15,15,13.33,15,19,45,11,4,A,0,33,M,H,60348,5
2222,1,15,2,5,1,2,15,15,8.6,15,21,57,12,6,A,0,56,F,H,67408,7
2223,0,0,2,14,2,10,15,25,17.71,25,18,101,13,6,S,1,72,M,H,65650,24
2224,1,21,2,3,1,1,15,15.5,13.67,16,16,31,12,6,A,0,61,F,H,65650,4
2225,0,0,1,3,1,1,15,15,9,15,18,56,10,4,A,0,43,F,H,79616,4
2226,1,15,7,11,5,6,15,16.43,12.73,18,24,41,12,6,S,1,60,F,U,44284.5,17
2227,1,5,1,1,1,1,15,15,15,15,26,26,7,3,N,0,43,F,U,42679,2
2228,0,0,2,20,2,6,15,10,6.75,10,21,69,12,6,A,1,79,F,U,87922,26
2229,1,19,2,7,2,3,15,17.5,9,17.5,24,65,11,6,A,0,52,F,H,92033,10
2230,0,0,4,5,3,3,15,11,14.8,9.67,16,29,13,6,A,1,47,F,H,57837,8
2231,0,0,3,8,2,5,15,12.33,9,11,18,88,16,5,A,0,75,M,H,41677,13
2232,0,0,2,5,1,2,15,15,11.4,15,19,77,12,5,A,0,54,M,U,51072,7
2233,1,15,6,20,3,9,15,15.83,14.5,15,17,113,14,6,S,1,74,M,U,44284.5,29
2234,0,0,2,3,1,2,15,15,11.67,15,21,45,11,5,A,0,45,F,H,60252,5
2235,1,14,2,2,1,1,15,14,14,13,18,23,12,6,N,0,65,M,H,105995,3
2236,0,0,3,8,3,4,15,11,8.25,11,16,44,14,5,A,1,35,M,H,41042,12
2237,0,0,4,13,2,6,15,14,9.08,14.5,23,75,12,6,A,1,49,M,U,37778,19
2238,0,0,1,3,0,2,15,15,13.67,0,18,44,11,5,A,0,70,M,H,45733,5
2239,1,25,3,5,2,4,15,12.33,11.4,13.5,22,45,12,6,A,1,62,F,U,81514,9
2240,1,12,11,29,5,7,15,9.64,9.31,9.8,6,89,29,11,A,1,81,M,U,49487,36
2241,0,0,1,4,0,2,15,15,8.5,0,26,63,9,4,A,0,43,F,H,59670,6
2242,0,0,2,12,0,8,15,12.5,5.58,0,16,128,11,4,A,1,42,M,H,44209,20
2243,0,0,2,15,1,7,15,15,6.27,15,19,111,13,6,S,1,54,F,U,47125,22
2244,1,30,6,42,3,16,15,17.83,10.55,20.67,4,111,32,17,A,1,60,F,U,48750,58
2245,0,0,3,16,1,7,15,11.67,8.88,10,18,78,26,11,A,1,58,F,U,39250,23
2246,1,14,4,18,3,12,15,11.75,5.19,10.67,23,128,8,5,S,1,59,F,U,40200,30
2247,1,20,1,5,0,1,15,15,7,0,19,44,12,6,A,0,37,M,U,44938,6
2248,0,0,1,5,0,3,15,15,11,0,18,63,12,6,A,0,59,M,H,42639,8
2249,0,0,1,11,1,8,15,15,6.64,15,17,126,11,4,A,1,87,F,U,53133,19
2250,0,0,2,11,2,11,15,15,14.09,15,23,130,7,5,A,1,87,M,U,44284.5,22
2251,0,0,1,8,1,5,15,15,10.5,15,21,75,11,5,A,1,55,F,U,45818,13
2252,1,5,4,32,1,17,15,11.75,8.97,10,15,127,14,6,S,1,60,F,U,40450,49
2253,0,0,3,3,3,3,15,10.33,10.33,10.33,17,33,12,4,A,0,60,F,U,39844,6
2254,1,10,2,2,2,2,15,10,10,10,18,24,12,6,N,0,87,M,U,37083,4
2255,1,15,4,8,2,4,15,11.25,8.63,10,18,56,13,6,S,1,52,F,U,46901,12
2256,0,0,1,1,1,1,15,15,15,15,24,24,7,3,N,0,85,F,U,38578,2
2257,0,0,1,10,1,8,15,15,12.2,15,21,112,10,4,A,1,71,F,H,46616,18
2258,1,10,1,2,1,2,15,15,10,15,23,37,10,4,A,0,55,F,U,42599,4
2259,1,15,1,10,1,5,15,15,8.8,15,17,119,13,6,A,0,67,F,H,33923,15
2260,1,15,3,16,1,8,15,10.33,6.5,8,25,126,11,6,A,1,62,F,H,39456,24
2261,0,0,5,22,3,11,15,14,8.91,13.67,15,111,4,2,E,1,60,F,U,44284.5,33
2262,1,10,2,3,0,0,15,10,10,0,19,28,10,5,A,0,76,F,U,38976,3
2263,1,20,2,5,0,2,15,15,11,0,24,113,9,4,A,0,60,F,U,38889,7
2264,1,20,2,5,1,4,15,14.5,12.6,15,20,52,12,6,A,1,71,M,U,34583,9
2265,1,15,4,9,3,5,15,7.75,6.33,8.67,15,52,11,4,A,1,57,F,U,37694,14
2266,1,5,2,8,2,4,15,14.5,11.63,14.5,15,92,12,5,A,0,73,F,H,38413,12
2267,0,0,2,14,0,11,15,15,8.79,0,18,126,7,3,A,1,60,F,U,44284.5,25
2268,0,0,2,2,1,1,15,15,15,15,26,35,4,2,A,0,79,M,U,40341,3
2269,1,21,3,13,1,6,15,13,8.62,11,18,113,13,6,A,0,65,M,U,44284.5,19
2429,0,0,5,10,3,5,14,14.8,12.8,14.67,22,77,10,5,A,1,77,F,U,44284.5,15
2430,1,12,6,22,3,12,14,12.33,8.77,12.33,15,130,14,6,S,1,67,M,H,76594,34
2431,0,0,4,8,3,4,14,14,11,14.33,21,75,13,6,A,0,60,M,U,54622,12
2432,1,20,2,25,0,8,14,19,13.24,0,5,126,32,8,A,1,81,F,H,70936,33
2433,0,0,7,13,4,7,14,12.29,10.69,12,18,93,14,6,A,1,58,F,U,44284.5,20
2434,1,15,6,7,4,5,14,13.17,12.57,12.5,16,32,7,2,E,1,60,F,U,44284.5,12
2435,0,0,3,12,2,6,14,13,7.83,12,17,123,13,6,A,1,60,M,U,39940,18
2436,1,16,2,9,1,4,14,12,11.22,10,18,52,33,6,S,1,42,M,U,44284.5,13
2437,0,0,2,18,1,12,14,14,9,14,24,123,10,5,A,1,46,M,H,56442,30
2438,1,14,3,16,3,14,14,12.67,8.75,12.67,17,105,8,4,A,1,86,F,H,46608,30
2439,0,0,2,7,1,3,14,14,18.29,14,16,101,13,6,A,0,70,M,H,29229,10
2440,1,15,4,10,2,6,14,14,13.3,14,18,76,8,4,A,0,63,F,H,56157,16
2441,0,0,6,26,4,11,14,14.33,11.77,14.5,5,75,31,7,S,1,60,M,U,44284.5,37
2442,0,0,4,4,2,2,14,12.25,12.25,12,17,32,13,6,A,0,56,F,U,44284.5,6
2443,1,20,4,4,2,2,14,8.75,8.75,8,18,27,16,6,A,1,60,M,U,34330,6
2444,1,20,2,6,0,3,14,16,12.67,0,18,68,13,6,A,1,81,F,U,50864,9
2445,0,0,6,11,3,3,14,9.33,7.91,8.67,18,48,13,6,S,1,60,F,U,44284.5,14
2446,1,11,5,5,3,3,14,8.6,8.6,7.33,18,30,12,6,A,1,60,F,U,44284.5,8
2447,0,0,2,14,0,6,14,13.5,6.71,0,24,91,10,5,A,1,71,M,H,40067,20
2448,1,10,6,12,5,9,14,12.67,9.92,12.4,18,105,14,6,S,1,60,M,U,29414,21
2449,0,0,1,11,0,3,14,14,12.73,0,16,105,12,5,A,0,60,M,U,44284.5,14
2450,0,0,2,14,1,7,14,14,11.64,14,17,116,13,6,S,1,68,F,H,49810,21
2451,0,0,4,10,2,4,14,15.75,12,12,23,53,15,6,S,1,85,F,U,32643,14
2452,1,15,2,14,2,9,14,14,10.29,14,17,88,15,6,S,1,70,M,U,37412,23
2453,0,0,5,19,3,10,14,11.8,10.63,12.33,17,86,14,6,S,1,60,M,U,31950,29
2454,1,14,2,36,1,16,14,14.5,8.5,15,17,129,6,3,A,1,62,F,U,33047,52
2455,1,20,2,12,1,7,14,14.5,13.42,15,18,65,14,6,S,1,60,M,U,44133,19
2456,0,0,3,4,3,4,14,12.67,10.25,12.67,20,53,12,6,A,1,51,F,U,44284.5,8
2457,0,0,3,24,3,16,14,13,8.29,13,15,127,12,5,A,1,65,F,U,56210,40
2458,1,14,2,23,1,14,14,13,8.22,14,21,128,12,5,A,1,77,M,U,54926,37
2459,1,14,2,9,1,3,14,14,10.22,14,16,80,15,6,A,0,60,M,U,57372,12
2460,0,0,3,21,0,10,14,13,9.38,0,19,127,12,5,A,1,77,M,U,71424,31
2461,1,15,8,30,4,6,14,14.5,13.47,12.75,4,66,38,9,S,1,60,M,U,44284.5,36
2462,0,0,0,13,0,10,14,0,4.42,0,26,130,10,4,A,1,27,F,H,45397,23
2463,1,14,4,14,2,5,14,13.5,12.43,13,7,73,25,11,A,1,54,F,U,45397,19
2464,1,13,5,8,2,3,14,12.6,10.5,13.5,16,77,16,6,A,0,70,M,H,78289,11
2465,0,0,5,6,4,5,14,11.2,10.17,11.25,16,41,13,6,A,1,55,F,H,35250,11
2466,1,15,3,5,3,3,14,13,12.2,13,15,28,26,7,A,0,60,F,U,44284.5,8
2467,0,0,1,8,0,2,14,14,9.5,0,18,65,14,6,A,0,37,F,U,44845,10
2468,0,0,2,27,2,14,14,13,5.85,13,21,130,13,4,A,1,78,F,U,60140,41
2469,1,14,2,10,2,6,14,14.5,11.7,14.5,16,65,13,5,A,1,54,M,H,77155,16
2470,1,10,3,21,3,18,14,12,8,12,21,130,12,5,A,1,75,M,U,43135,39
2471,0,0,4,9,3,5,14,14.25,11.67,14.33,15,57,12,5,A,0,64,F,H,91943,14
2472,1,9,3,8,2,5,14,10.33,7,12,16,105,14,6,S,1,47,M,U,44702,13
2473,1,16,8,16,6,10,14,13,10.13,13.5,16,128,16,6,A,1,46,M,H,61515,26
2474,0,0,4,10,1,4,14,13,8.25,12,16,88,14,6,S,1,60,F,U,44284.5,14
2475,1,14,2,21,1,9,14,13,8.48,14,16,101,13,5,A,1,46,M,H,59670,30
2476,1,14,3,11,3,9,14,12.67,9.73,12.67,15,111,15,6,A,1,67,M,U,51587,20
2477,0,0,4,24,3,17,14,12.5,8.25,12,17,127,13,6,S,1,60,F,H,42115,41
2478,0,0,5,15,0,4,14,10,14.47,0,4,83,25,11,A,1,60,F,U,44284.5,19
2491,0,0,5,5,1,1,13,12.2,12.2,10,18,33,12,6,A,0,60,F,U,44284.5,6
2492,1,10,3,3,1,1,13,10,10,5,18,26,12,6,N,0,80,M,H,82506,4
2493,0,0,3,3,3,3,13,11.67,11.67,11.67,16,23,14,6,N,1,77,M,H,103465,6
2494,0,0,3,6,2,3,13,11.67,7.67,12,16,93,10,5,A,0,86,F,H,40212,9
2495,1,12,5,24,3,8,13,11.8,5.17,13.67,18,128,7,4,S,1,69,F,H,29691,32
2496,1,13,3,14,3,11,13,9.67,5.57,9.67,16,129,13,5,A,1,71,M,H,40847,25
2497,0,0,4,5,3,3,13,11,12.2,10.33,18,33,12,6,S,1,55,M,U,53432,8
2498,1,10,2,28,1,14,13,13,12.42,13,20,113,12,5,A,1,47,M,U,44284.5,42
2499,0,0,3,10,2,7,13,12.33,8.4,12,18,105,15,6,A,1,75,F,H,71392,17
2500,0,0,2,4,1,1,13,14,11,13,17,39,13,6,A,0,60,M,U,44284.5,5
2501,1,12,5,14,3,6,13,12,9.43,12.67,19,77,13,6,S,1,46,F,H,48602,20
2502,1,12,2,12,1,10,13,12,7,11,18,109,14,6,S,1,60,F,U,44284.5,22
2503,0,0,4,12,2,5,13,12,8.92,11.5,18,63,13,6,A,1,71,F,H,44284.5,17
2504,1,12,6,6,4,4,13,11.33,11.33,10.75,16,33,16,6,A,1,79,M,H,38325,10
2505,0,0,4,8,2,3,13,10.75,10,12,16,42,14,6,A,0,83,F,H,22728,11
2506,1,12,2,12,0,8,13,12,8.17,0,19,88,8,4,S,1,73,F,H,35731,20
2507,0,0,4,10,2,5,13,11.5,8,11,19,80,13,6,A,0,60,M,U,44284.5,15
2508,0,0,5,11,2,5,13,11.4,9.64,12.5,16,111,18,6,A,0,71,M,H,30793,16
2509,1,10,4,21,2,10,13,10,8.62,10,4,130,23,8,S,1,60,M,U,41418,31
2510,0,0,1,16,0,7,13,13,9.25,0,26,130,9,4,A,1,60,F,H,37627,23
2511,0,0,4,21,2,13,13,12.25,8.95,12,16,97,12,5,S,1,73,F,U,41471,34
2512,1,14,6,21,4,11,13,14,11.14,13.25,22,97,13,6,A,1,47,F,H,39115,32
2513,1,13,3,12,1,7,13,13,9.67,11,19,80,13,5,A,1,32,M,H,60483,19
2514,1,11,4,12,2,7,13,11.5,11.08,11,18,86,8,4,S,1,74,F,U,44284.5,19
2515,0,0,3,29,1,12,13,14.33,9.1,15,20,128,13,6,S,1,69,F,U,47500,41
2516,0,0,5,11,0,4,13,11.4,8.73,0,18,104,13,6,A,1,44,M,H,82313,15
2517,1,12,4,5,3,4,13,11.5,10.2,11.33,21,45,12,6,A,0,52,M,H,46563,9
2518,1,12,3,11,2,9,13,11.67,5.82,12,24,113,11,5,S,1,56,F,H,64484,20
2519,0,0,3,6,2,3,13,9.33,7.67,9,17,42,12,6,A,0,73,F,H,50650,9
2520,1,15,5,11,4,6,13,12.6,10,13.25,23,88,13,6,A,0,66,F,H,49277,17
2521,1,10,3,15,3,9,13,13,10.73,13,17,91,13,6,S,1,60,M,U,44284.5,24
2522,1,13,6,30,5,15,13,12,10.13,11.4,21,127,13,6,S,1,47,M,U,44284.5,45
2523,1,15,4,12,3,9,13,14,10.83,13.67,23,88,11,5,A,1,73,M,H,30633,21
2524,1,13,4,21,3,17,13,13.25,10.67,12.67,24,128,7,4,A,1,81,M,U,25144,38
2525,1,20,3,22,3,8,13,14.33,11.23,14.33,6,105,39,8,S,1,71,M,U,58750,30
2526,1,15,11,24,7,12,13,11.55,11.5,12.14,20,67,14,6,S,1,43,M,U,62557,36
2527,1,11,5,7,4,5,13,11.8,10.14,10.75,21,45,12,6,S,1,66,M,H,49277,12
2528,1,10,4,6,3,3,13,12.5,11.67,12.67,21,44,12,6,A,0,37,F,H,51715,9
2529,1,5,4,7,2,4,13,12,9.71,11.5,24,41,11,6,S,1,60,F,U,44284.5,11
2530,0,0,3,3,3,3,13,11.67,11.67,11.67,16,24,14,6,N,1,66,M,H,67408,6
2531,0,0,4,11,2,7,13,12.5,10.55,12.5,15,89,13,6,A,1,49,F,H,55201,18
2532,0,0,2,26,1,16,13,8,7.58,11,7,130,27,6,A,1,60,F,U,44284.5,42
2533,1,12,4,5,1,1,13,12,11.4,13,18,38,12,6,A,0,65,M,U,33016,6
2534,0,0,7,31,4,21,13,12.71,10.94,13.25,17,128,13,6,S,1,81,F,H,83754,52
2541,0,0,8,11,4,5,12,10.5,9.45,10.5,17,41,13,6,S,1,71,F,H,56828,16
2542,1,15,4,7,2,4,12,12.75,11,12,17,45,13,6,S,1,50,M,H,89773,11
2543,0,0,3,10,1,5,12,13,9,18,5,68,30,10,L,0,67,F,U,44284.5,15
2544,1,30,3,10,0,2,12,11.33,9.5,0,16,53,13,6,S,1,72,F,U,91659,12
2545,1,12,3,16,1,6,12,12,10.38,12,15,80,12,5,A,1,56,F,H,67201,22
2546,0,0,6,14,4,7,12,10.33,8.36,10.5,15,56,14,6,S,1,22,M,H,87470,21
2547,0,0,3,3,3,3,12,10.67,10.67,10.67,16,23,14,6,N,1,53,F,H,81157,6
2548,1,15,4,6,3,4,12,11,9.83,11.33,21,41,12,6,A,0,55,M,H,105247,10
2549,1,10,2,12,2,9,12,11,8.92,11,15,114,10,3,E,1,64,F,H,58656,21
2550,1,11,6,32,2,13,12,11.33,10.72,11.5,18,109,15,6,S,1,45,M,H,57075,45
2551,0,0,1,14,1,10,12,12,6.79,12,21,127,12,4,A,1,83,M,U,59774,24
2552,0,0,2,11,1,4,12,11,9.18,10,18,77,13,6,A,0,67,F,U,45250,15
2553,1,14,3,14,1,8,12,12.33,7.71,13,20,93,13,6,A,1,62,F,U,39649,22
2554,1,15,7,24,4,10,12,12.86,10.88,12.5,17,87,23,11,A,1,87,F,U,47256,34
2555,1,10,2,44,1,19,12,11,8.36,10,20,128,11,4,A,1,67,F,U,40389,63
2556,0,0,4,12,3,8,12,12.5,8.25,12.67,17,105,9,4,S,1,83,F,U,44063,20
2557,0,0,4,17,2,13,12,10.5,9.53,10,9,130,22,9,F,1,46,M,H,37080,30
2558,1,14,3,16,0,8,12,16.33,10.75,0,17,126,20,6,A,1,52,F,H,47076,24
2559,0,0,2,3,1,1,12,11,9,12,16,20,14,6,N,0,61,M,H,27121,4
2560,1,11,4,28,2,12,12,9.5,9.21,7.5,18,130,8,4,S,1,78,M,H,31883,40
2561,1,10,1,18,1,8,12,12,8.5,12,18,113,12,5,A,1,82,F,U,44284.5,26
2562,1,10,2,22,1,10,12,11,8.95,12,17,113,12,5,A,1,36,F,U,35682,32
2563,1,11,10,14,7,9,12,10.7,9.21,10.43,16,45,14,6,S,1,43,F,U,44284.5,23
2564,0,0,5,10,2,5,12,10.4,8.9,10,19,57,14,6,S,1,76,M,H,46722,15
2565,1,17,7,8,4,5,12,10.71,10,11.25,17,41,14,6,S,1,60,M,U,44284.5,13
2566,1,12,10,30,5,11,12,10,9.73,10,4,87,27,11,A,1,79,M,U,40032,41
2567,0,0,4,6,3,4,12,10.75,9.17,11.33,21,45,12,6,A,1,59,M,H,70410,10
2568,0,0,4,6,2,4,12,11,9.33,11,18,44,9,4,A,1,27,M,H,71392,10
2569,1,12,2,11,0,6,12,11,9.82,0,20,102,13,6,A,1,75,F,U,44284.5,17
2570,1,15,5,7,2,3,12,11.4,9.86,11,17,44,15,6,A,1,55,F,U,44284.5,10
2571,1,10,3,13,2,8,12,10.67,8.31,11,17,81,8,4,S,1,73,F,H,55485,21
2572,1,12,4,12,3,8,12,14.25,12.67,15,18,110,8,4,S,1,83,M,U,43877,20
2573,1,18,4,21,2,12,12,11,8.76,11,17,75,5,2,E,1,60,F,U,46993,33
2574,1,11,4,25,2,13,12,10.75,7.16,11,21,102,14,6,S,1,44,F,U,44284.5,38
2575,0,0,4,10,3,8,12,13.5,14.7,14.67,17,69,15,6,S,1,74,M,H,50162,18
2576,0,0,4,7,2,3,12,14,10.86,11,16,65,15,6,A,0,82,M,H,50162,10
2577,0,0,5,27,2,12,12,10.4,5.63,10,18,127,13,6,S,1,60,F,H,42155,39
2578,0,0,5,14,2,7,12,12,9.29,11,18,88,14,6,S,1,58,F,H,30640,21
2579,1,15,3,5,1,2,12,11.33,9.8,12,18,41,11,5,A,0,71,F,H,39302,7
2580,1,10,5,19,4,9,12,10.4,8.58,10.5,20,113,13,6,S,1,79,F,H,47308,28
2581,1,25,2,9,1,8,12,11,13.78,12,17,128,12,5,S,1,47,F,H,58401,17
2582,0,0,5,6,2,2,12,8.8,8.33,11,16,32,14,6,A,0,53,F,H,43804,8
2583,1,15,3,22,1,12,12,11.33,11.18,12,16,113,15,6,S,1,73,F,H,41086,34
2584,0,0,4,6,3,5,12,10.75,9.17,11.33,17,64,6,1,E,1,60,M,U,44284.5,11
2585,0,0,5,9,4,7,12,10.4,8.44,10.5,17,52,14,6,S,1,60,M,U,44284.5,16
2586,0,0,2,15,2,11,12,12,6.9,12,24,130,10,4,A,1,60,F,U,44284.5,26
2587,1,3,3,12,3,10,12,6.67,4.42,6.67,16,90,13,5,S,1,60,M,U,44284.5,22
